slang,kata_baku
ad,ada
adaakses,ada akses
adatempat,ada tempat
adem,dingin
ademalami,sejuk alami
ademmm,dingin
ae,
aernya,airnya
agk,agak
airada,air ada
airbening,air bening
airdi,air
airmasak,air masak
airnyaa,airnya
airnyaaaa,airnya
airnyapemandangan,airnya pemandangan
airsumber,air sumber
airtempat,air tempat
aja,saja
ajaa,saja
alamiah,alami
alamiair,alami air
alamibersih,alami bersih
alamilumayan,alami lumayan
alamisegar,alami segar
alamy,alami
alamiygpentingdlestarikandjaganikmatibuat,alami yang penting dilestarikan dijaga nikmati buat
alatalat,alat alat
alhamdulillah,
allaah,
allah,
ambili,ambil
ambill,ambil
an,
anakanak,anak anak
anakpermandian,anak pemandian
anaktiket,anak tiket
antriinya,antrinya
anya,
apaapa,apa apa
apik,bagus
aq,aku
asek,seru
asik,seru
asikk,seru
aslisuip,asli mantap
asricocok,asri cocok
asridan,asri dan
asridngan,asri dengan
asrii,asri
asrisejukmurah,asri sejuk murah
asrirekomendasi,asri rekomendasi
asyik,seru
asyikmasak,seru masak
ato,atau
aumber,sumber
ayem,tentram
awan,siang
az,
bab,buang air besar
bagis,bagus
bagusakses,bagus akses
bagusdan,bagus dan
bagusfasilitas,bagus fasilitas
bagushal,bagus hal
baguslumayanhanya,bagus lumayan hanya
bagusmakanannya,bagus makanannya
bagustiketnya,bagus tiketnya
baguss,bagus
bagussarana,bagus sarana
bagussss,bagus
bagussssss,bagus
baguus,bagus
baguuss,bagus
baguuuss,bagus
bak,ban
balik,kembali
bangaun,bangun
banget,sangat
bangetcuman,sangat cuma
bangett,sangat
bangettapi,sangat tapi
bangettt,sangat
bangetttt,sangat
bangetperlu,sangat perlu
banyakk,banyak
banyan,banyak
bar,setelah
barangdi,barang
barange,barang
baranguntuk,barang untuk
barukereta,baru kereta
batuairnya,batu airnya
batubatuan,batu batuan
batukarang,batu karang
bawahbawah,bawah bawah
bayarbtw,bayar
begtu,begitu
beming,bening
benarbenar,benar benar
beningmantappp,bening mantap
bener,benar
benerbener,benar benar
berbasahbasahan,berbasah basahan
berenangairnya,berenang airnya
berenanganak,berenang anak
berenangbsepuasx,berenang sepuasnya
berenangtiket,berenang tiket
berendampemandangan,berendam pemandangan
berhatihati,berhati hati
bersenangsenang,bersenang senang
bersihmakanan,bersih makanan
bersihpengelolaan,bersih pengelolaan
bersihsuwejukksuwegerrr,bersih sejuk segar
bersndam,berendam
besarbisa,besar bisa
bgs,bagus
bgt,sangat
bgtmakan,sangat makan
bgus,bagus
bingit,sangat
bingitspara,sangat para
bkin,membuat
blkg,belakang
blm,belum
blom,belum
bnget,banget
bngt,banget
bnyak,banyak
bnyk,banyak
bocil,anak kecil
bokeh,boleh
bontotan,makanan
brenang,berenang
brngkat,berangkat
brngktnya,berangkatnya
brp,beberapa
bs,bisa
buat,untuk
bukanya,bukannya
buruan,cepat
butek,keruh
buweniiing,bening
bwa,bawa
byk,banyak
bykharga,banyak harga
byr,bayar
byurrrr,
caak,
cantikkk,cantik
cavekk,capek
cetek,dangkal
cikopi,kopi
cirikhas,ciri khas
citimewa,istimewa
ckp,cukup
cm,cuma
cmn,hanya
colokan,stop kontak
csntik,cantik
cuman,cuma
cumn,cuman
cuyyyy,
cuzzzzzzz,ayo
ctatan,catatan
dah,
daru,dari
datengnya,datangnya
daundaun,daun daun
debest,the best
dech,
dedaunantempat,dedaunan tempat
deh,
dewasasumber,dewasa sumber
dg,dengan
dgn,dengan
di,
dii,
dijangkauberada,dijangkau berada
dikantongpokoknya,dikantong intinya
dilautdikelilingi,dilaut dikelilingi
dilihhat,dilihat
dingiiiiiin,dingin
diriair,diri air
ditmbah,ditambah
diwarungx,diwarungnya
dll,dan lain lain
dlm,dalam
dlu,dulu
dn,dan
dong,
dr,dari
dri,dari
drpd,daripada
dsamping,disamping
dsb,dan sebagainya
dsana,disana
dstu,disitu
dtg,datang
dtng,datang
du,
dudukato,duduk atau
dudukjadi,duduk jadi
dudukmasalah,duduk masalah
dulutapi,dulu tapi
duper,sangat
dwngan,dengan
enakk,enak
endues,bagus
fasum,fasilitas sumber
flyingfox,flying fox
ful,full
fzapr,
g,tidak
ga,tidak
gaada,tidak ada
gabisa,tidak bisa
gaes,
gaess,
gais,
gaiss,
gak,tidak
gakbisa,tidak bisa
gantiwkwkwkwk,ganti
gaperlu,tidak perlu
garagara,gara gara
gasebo,gazebo
gasebocm,gazebo cuma
gasuka,tidak suka
gay,
gazebu,gazebo
gemericik,gemercik
gengs,
ginian,seperti ini
gitu,begitu
gituu,gitu
gk,tidak
gmaps,google maps
gokill,gokil
gondanglegikolam,gondanglegi kolam
googlemaps,google maps
gowes,bersepeda
gpp,tidak apa apa
gratisbyr,gratis bayar
gratistoilet,gratis toilet
guantengg,ganteng
guys,
guyss,
hape,handphone
hatihati,hati hati
hawahawa,suasana
hehe,
heheeeee,
hehehe,
heheheh,
heheheuntuk,untuk
hemmmnnn,
higenis,hiegenis
hilangrusak,hilang rusak
hilingmurah,healing murah
hny,hanya
hollyday,holiday
horegnya,
hp,handphone
hrg,harga
hrs,harus
htm,harga tiket masuk
htmnya,harga tiket masuknya
httpsyoutubeidteubtsikdhbvcletutda,
ikanikan,ikan ikan
ikanjernih,ikan jernih
ikanw,ikan
ikanya,ikannya
ilakes,sekali
in,
indahasooooy,indah
indahh,indah
indahrecomended,indah recommended
inijalan,ini jalan
iniminggu,ini minggu
inshaallah,
istimiwir,istimewa
jj,
jadinyamungkin,jadinya mungkin
jajananbajubanyak,jajanan baju banyak
jandi,jadi
jang,jangan
jauhsemoga,jauh semoga
jd,jadi
jdi,jadi
jepret,foto
jernihanak,jernih anak
jernihcocok,jernih cocok
jernihdisekeliling,jernih disekeliling
jernihgasebo,jernih gazebo
jernihh,jernih
jernihmakanan,jernih makanan
jernihsampi,jernih sampai
jernihsegardan,jernih segar dan
jernihseger,jernih segar
jernihtiket,jernih tiket
jernihtukang,jernih tukang
jerniihh,jernih
jg,juga
jga,juga
jgaa,juga
jgamantapp,juga mantap
jgn,jangan
jln,jalan
jomblo,
joss,mantap
jozz,mantap
jozzz,mantap
juernih,jernih
jugaa,juga
jugak,juga
jugapokonya,juga pokoknya
junuh,jenuh
kab,kabupaten
kalo,kalau
kan,
kang,
kaporitsangat,kaporit sangat
karna,karena
katna,karena
kayak,seperti
ke,
keaadaan,keadaan
kebersihanx,kebersihannya
kec,kecamatan
kecabutrusak,kecabut rusak
keciljg,kecil juga
kelg,keluarga
keluargaairnya,keluarga airnya
keluargadengan,keluarga dengan
keluargasahabatmakanan,keluarga sahabat makanan
keluargatarif,keluarga tarif
keluargateman,keluarga teman
kemenanganrrrr,kemenangan
kencong,kencing
kereeenseperti,keren seperti
kereen,keren
kerennn,keren
kerennnnn,keren
kerensejukpemandangan,keren sejuk pemandangan
keretaa,kereta
keretakereta,kereta kereta
kertanya,keretanya
keruwetan,keramaian
kesanasepertinya,kesana sepertinya
kesanya,kesannya
kesnaa,kesana
ketcyil,kecil
kimiabersih,kimia bersih
kippah,
kkrngannya,kekurangannya
kl,kalau
klau,kalau
klo,kalau
klu,kalau
kluarga,keluarga
km,
kmar,kamar
kmaren,kemarin
kmasingmasing,masing masing
knaik,naik
kok,
kolamsumber,kolam sumber
korang,orang
korg,orang
kotaakses,kota akses
kr,karena
kran,keran
kreta,kereta
krg,kurang
krn,karena
ksini,kesini
ksni,kesini
ktp,kartu tanda penduduk
kudanan,kehujanan
kudu,harus
kumpulmau,kumpul ingin
kuranghingga,kurang hingga
kurangtong,kurang tong
kutang,kurang
kwkwkwk,
kyk,kayak
la,
lagikarcis,lagi tiket
lagikeamanan,lagi keamanan
lagisemangat,lagi semangat
lah,
lahh,
lak,kalau
lbh,lebih
lbur,libur
le,
lebran,lebaran
lek,kalau
lengkapairnya,lengkap airnya
lesehanwarung,lesehan warung
lg,lagi
lgmohon,lagi mohon
lgsg,langsung
liarkotor,liar kotor
liburtanggal,libur tanggal
lmyan,lumayan
lmyn,lumayan
lu,
luama,lama
luamakasihan,lama kasihan
luarbiasa,luar biasa
luasakses,luas akses
luasgak,luas tidak
luasss,luas
luassss,luas
lucuuu,lucu
lumayab,lumayan
lumayaan,lumayan
lumayansempat,lumayan sempat
lumutt,lumut
lumyan,lumayan
lur,
loh,
looh,
lor,
maa,
maasyaaallah,
masyaallah,
maen,main
mainnair,main air
makanana,makanan
makananminuman,makanan minuman
makananya,makanannya
makanjadi,makan jadi
malanh,malang
malkot,malang kota
mandibaju,mandi baju
mandimembilas,mandi membilas
mandiwc,mandi wc
mangap,mantap
mantaap,mantap
mantab,mantap
mantabh,mantap
mantabs,mantap
mantapcocok,mantap cocok
mantaplahh,mantaplah
mantapp,mantap
mantapppp,mantap
mantaptiket,mantap tiket
mantep,mantap
mantul,mantap betul
mantuuul,mantap betul
masok,masuk
masya,
masyaa,
mayan,lumayan
mck,
mcm,macam
medanx,medannya
memperramai,meramaikan
mending,lebih baik
mengalamai,mengalami
menyenangkanairnya,menyenangkan airnya
menyenangkanlingkungan,menyenangkan lingkungan
menyenangkansumbersirahngalammtmajatim,menyenangkan sumber sirah malang jawa timur
menyesap,menyesal
meria,meriah
meriahairnya,meriah airnya
meriahcukup,meriah cukup
meriahcuman,meriah cuma
mgkn,mungkin
mi,mie
minimklo,minimal kalau
minim,minimal
mjd,menjadi
mkanan,makanan
mmg,memang
mmng,memang
mnghabiskan,menghabiskan
mnurut,menurut
moto,motor
msh,masih
msk,masuk
mu,
mudahsuasana,mudah suasana
mudakrn,muda karena
mumer,murah meriah
mumergak,murah meriah tidak
mummer,murah meriah
munkin,mungkin
muntahhh,muntah
muraahhh,murah
murahcocok,murah cocok
murahh,murah
murahhhh,murah
murahparkiran,murah parkiran
murahtermasuk,murah termasuk
murahtiket,murah tiket
murahuntuk,murah untuk
murce,murah ceria
murcee,murah ceria
murmer,murah meriah
murqh,murah
mwantabb,mantap
nan,dan
nantik,nanti
ne,
nemenin,menemani
nerada,berada
ngademtiket,sejuk tiket
ngapa,apa
nge,
ngentol,
ngak,tidak
nggak,tidak
nggk,tidak
nguras,menguras
nih,
no,
ny,
nya,
nyamanairnya,nyaman airnya
nyamanbersih,nyaman bersih
nyamandan,nyaman dan
nyamankamar,nyaman kamar
nyamanmsih,nyaman masih
nyantai,santai
nyari,mencari
nyegerin,menyegarkan
nyelam,menyelam
nyelem,menyelam
nyemplung,menyelam
nyesel,menyesal
nylonong,menerobos
odongodong,odong odong
oh,
ok,
okee,oke
orangorang,orang orang
org,orang
organikanorganik,organik anorganik
orgkereta,orang kereta
orng,orang
padet,padat
pake,pakai
panasssaat,panas
pas,saat
pass,cocok
pdhl,padahal
pecoyo,percaya
pegununganharga,pegunungan harga
pelindunh,pelindung
pemandianx,pemandiannya
penat,lelah
penitupan,penitipan
pengen,ingin
penyembuhanairnya,penyembuhan airnya
penyembuhannyasegar,penyembuhannya segar
per,
perkir,parkir
perorg,perorang
persawahancocok,persawahan cocok
perubahanperubahan,perubahan perubahan
pijakanhati,pijakan hati
pk,
plastiknyaaa,plastiknya
plastikstyrofoam,plastik
pling,paling
plg,pulang
pokoe,intinya
pol,sangat
poll,sangat
pondok,pesantren
ponpes,pondok pesantren
prmandian,pemandian
prnasaran,penasaran
pun,
puoll,sangat
pwoll,sangat
qt,kita
rada,agak
ramahh,ramah
rame,ramai
rameeeeeeee,ramai
rb,ribu
rbdan,ribu dan
rbjadi,ribu jadi
rborang,ribu orang
rborangparkir,ribu orang parkir
rborg,ribu orang
rbparkir,ribu parkir
rbparkirmotor,ribu parkir motor
recom,recommended
recomanded,recommended
recomend,recommended
recomended,recommended
recomomended,recommended
refresing,refreshing
refressing,refreshing
rejohtm,harga tiket masuk
rek,
rekom,rekomendasi
rekomended,recommended
rekrwasi,rekreasi
renanh,renang
rene,kesini
renov,renovasi
renovasikolam,renovasi kolam
ripu,ribu
riview,review
rp,rupiah
rrreeekkooommeeennnnddeeeddd,rekomendasi
rumputrumputnya,rumput rumputnya
runu,kesitu
sabi,bisa
sajatdk,saja tidak
saking,karena begitu
salto,terjun
sampahbanyak,sampah banyak
sampahbisa,sampah bisa
sampahnah,sampah
sampe,sampai
san,
sang,
sangaaaak,sembilan
santaisantai,santai santai
santuy,santai
satunyakarena,satunya karena
sawahairnya,sawah airnya
sawahh,sawah
sawahlumayan,sawah lumayan
sawahperahu,sawah perahu
sawahsawah,sawah sawah
sawak,sawah
sayatahunya,saya tahunya
sayangx,sayangnya
sbb,sebab
sbnrnya,sebenarnya
sdah,sudah
sdh,sudah
sdkit,sedikit
se,
sebagos,bagus
sebenernya,sebenarnya
segaarrr,segar
segarrrr,segar
segardekat,segar dekat
segede,sebesar
segeeer,segar
segereeeee,segar
segeerre,segar
segeerr,segar
segeerrr,segar
seger,segar
segerr,segar
segerrr,segar
segerrrr,segar
segertempat,segar tempat
seharusnyasecara,seharusnya secara
sehcuma,cuma
sehjngga,sehingga
sejook,sejuk
sejukapalagi,sejuk apalagi
sejukbersih,sejuk bersih
sejuktertata,sejuk tertata
sekalibersih,sekali bersih
sekalibagus,
sekalii,sekali
sekaly,sekali
sekrang,sekarang
sendirisendiri,sendiri sendiri
seneng,senang
sepertinyatidak,sepertinya tidak
sepileluasa,sepi leluasa
sepuasx,sepuasnya
sepwrti,seperti
seruu,seru
seruuu,seru
seruuuu,seru
setelahbterakhir,setelah terakhir
shak,
shik,
shok,
si,
siangsore,siang sore
sichcm,
sii,
sihtapi,tapi
sih,
sihh,
sihhh,
sip,
sipp,bagus
sj,saja
skrg,sekarang
sktrnya,sekitarnya
sluurr,
slulupp,menyelam
sma,sama
smpe,sampai
smua,semua
sngat,sangat
soo,jadi
souweger,segar
sopirseharusnya,sopir seharusnya
spd,sepeda
speda,sepeda
sperti,seperti
spt,seperti
srbagian,sebagian
subhanallah,
suegeerrrudh,segar sudah
sueger,segar
suegere,segar
suegerrrr,segar
suegernya,segarnya
suegir,segar
suejuk,sejuk
suwejuk,sejuk
sumbermata,sumber mata
sumbermurah,sumber murah
sumberny,sumbernya
sumbersira,sumber sira
sumberwadon,sumber wadon
sumpektidak,jenuh tidak
suwegeeeeer,segar
sweger,segar
syaa,
syeger,segar
syuukaa,suka
tak,tidak
taoi,tapi
tajamsewa,tajam sewa
tamanx,tamannya
tambahkanmm,tambahkan
taneman,tanaman
tawarr,tawar
td,tadi
tdk,tidak
tebelhemat,tebal hemat
temapatnya,tempatnya
temen,teman
tempate,tempat
tempatnyafoto,tempatnya foto
tempatx,tempatnya
tenangcuma,tenang cuma
tengahtempatnya,tengah tempatnya
terawatbanyak,terawat banyak
tergadap,terhadap
tergntung,tergantung
terjangkaupetugas,terjangkau petugas
terjangkautempat,terjangkau tempat
tersediatmpat,tersedia tempat
tgl,tanggal
themat,
tiloilet,toilet
tintisan,rintisan
tlng,tolong
tm,tiket masuk
tmpat,tempat
tmpate,tempat
tmpt,tempat
tmptnya,tempatnya
toiletnyaantri,toiletnya antri
tp,tapi
tpi,tapi
trapi,terapi
trims,terima kasih
trllu,mahal cuma
trmasuk,termasuk
trs,lalu
trumbu,terumbu
trus,lalu
tsb,tersebut
tuhsejalur,sejalur
tuk,untuk
unt,untuk
untk,untuk
utk,untuk
udh,sudah
vasilitasnya,fasilitasnya
wadeer,
wader,
wadonkereta,wadon kereta
waaahhhh,
wahanawahana,wahana wahana
wapik,bagus
warungmushola,warung mushola
warungwarung,warung warung
weekdayuntuk,weekday untuk
wenak,enak
wihhh,
wisataa,wisata
whort,worth
wktu,waktu
wkwkwk,
wort,worth
worthit,worth it
woww,keren
wuapikk,bagus
ya,
yaa,
yaaa,
yad,
yah,
yahuuuut,
yak,
yakk,
yangbersih,yang bersih
ydgze,
yempat,tempat
yg,yang
ypwb,